"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
321,,-61.50189600e-3,MISO,2,0x0F80,OK
322,,-61.48250400e-3,MOSI,2,0x1A07,OK
323,,-61.48250400e-3,MISO,2,0x07FF,OK
324,,-61.46292000e-3,MOSI,2,0x1226,OK
325,,-61.46292000e-3,MISO,2,0xFFFE,OK
326,,-61.44352800e-3,MOSI,2,0x020C,OK
327,,-61.44352800e-3,MISO,2,0x01FF,OK
328,,-61.42394400e-3,MOSI,2,0x1A87,OK
329,,-61.42394400e-3,MISO,2,0xFFFF,OK
330,,-61.40455200e-3,MOSI,2,0x8800,OK
331,,-61.40455200e-3,MISO,2,0xFFFF,OK
332,,-61.38496800e-3,MOSI,2,0x0200,OK
333,,-61.38496800e-3,MISO,2,0xFFFF,OK
334,,-61.36557600e-3,MOSI,2,0x9400,OK
335,,-61.36557600e-3,MISO,2,0xFFFF,OK
336,,-61.34599200e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
337,,-61.34599200e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
338,,-61.04743200e-3,MOSI,2,0x9800,OK
339,,-61.04743200e-3,MISO,2,0xF800,OK
340,,-61.02804000e-3,MOSI,2,0x0200,OK
341,,-61.02804000e-3,MISO,2,0x01FF,OK
342,,-61.00845600e-3,MOSI,2,0x087F,OK
343,,-61.00845600e-3,MISO,2,0xFFFF,OK
344,,-60.98906400e-3,MOSI,2,0x1480,OK
345,,-60.98906400e-3,MISO,2,0x0F80,OK
346,,-60.96948000e-3,MOSI,2,0x1A07,OK
347,,-60.96948000e-3,MISO,2,0x07FF,OK
348,,-60.94989600e-3,MOSI,2,0x1226,OK
349,,-60.94989600e-3,MISO,2,0xFFFE,OK
350,,-60.93050400e-3,MOSI,2,0x020C,OK
351,,-60.93050400e-3,MISO,2,0x01FF,OK
352,,-60.91092000e-3,MOSI,2,0x1A87,OK
353,,-60.91092000e-3,MISO,2,0xFFFF,OK
354,,-60.89152800e-3,MOSI,2,0x8800,OK
355,,-60.89152800e-3,MISO,2,0xFFFF,OK
356,,-60.87194400e-3,MOSI,2,0x0200,OK
357,,-60.87194400e-3,MISO,2,0xFFFF,OK
358,,-60.85255200e-3,MOSI,2,0x9400,OK
359,,-60.85255200e-3,MISO,2,0xFFFF,OK
360,,-60.83296800e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
