"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
265,,48.39901840e-3,MISO,2,0x01FF,OK
266,,48.41851920e-3,MOSI,2,0x9A00,OK
267,,48.41851920e-3,MISO,2,0xFFFF,OK
268,,48.43802000e-3,MOSI,2,0x1AFF,OK
269,,48.43802000e-3,MISO,2,0xFFFF,OK
270,,48.45752080e-3,MOSI,2,0x8800,OK
271,,48.45752080e-3,MISO,2,0xFFFF,OK
272,,48.47702160e-3,MOSI,2,0x0200,OK
273,,48.47702160e-3,MISO,2,0xFE00,OK
274,,48.49652240e-3,MOSI,2,0x9400,OK
275,,48.49652240e-3,MISO,2,0x7FFF,OK
276,,48.51601680e-3,MOSI,2,0x9200,OK
277,,48.51601680e-3,MISO,2,0xF1FF,OK
278,,48.53551760e-3,MOSI,2,0x9800,OK
279,,48.53551760e-3,MISO,2,0xF800,OK
280,,48.55501840e-3,MOSI,2,0x0200,OK
281,,48.55501840e-3,MISO,2,0x01FF,OK
282,,48.57451920e-3,MOSI,2,0x087F,OK
283,,48.57451920e-3,MISO,2,0xFFFF,OK
284,,48.59402000e-3,MOSI,2,0x1480,OK
285,,48.59402000e-3,MISO,2,0x0F80,OK
286,,48.61352080e-3,MOSI,2,0x1A07,OK
287,,48.61352080e-3,MISO,2,0x07FF,OK
288,,48.63302160e-3,MOSI,2,0x1226,OK
289,,48.63302160e-3,MISO,2,0xFFFE,OK
290,,48.65252240e-3,MOSI,2,0x020C,OK
291,,48.65252240e-3,MISO,2,0x01FF,OK
292,,48.67201680e-3,MOSI,2,0x9A00,OK
293,,48.67201680e-3,MISO,2,0xFFFF,OK
294,,48.69151760e-3,MOSI,2,0x1AFF,OK
295,,48.69151760e-3,MISO,2,0xFFFF,OK
296,,48.71101840e-3,MOSI,2,0x8800,OK
297,,48.71101840e-3,MISO,2,0xFFFF,OK
298,,48.73051920e-3,MOSI,2,0x0200,OK
299,,48.73051920e-3,MISO,2,0xFE00,OK
300,,48.75002000e-3,MOSI,2,0x9400,OK
301,,48.75002000e-3,MISO,2,0x7FFF,OK
302,,48.76952080e-3,MOSI,2,0x9200,OK
303,,48.76952080e-3,MISO,2,0xF1FF,OK
304,,48.78902160e-3,MOSI,2,0x9800,OK
305,,48.78902160e-3,MISO,2,0xF800,OK
306,,48.80852240e-3,MOSI,2,0x0200,OK
307,,48.80852240e-3,MISO,2,0x01FF,OK
308,,48.82802320e-3,MOSI,2,0x087F,OK
